iter	Passed	Remaining
801	38875	9597
802	38913	9546
803	38951	9495
804	38986	9444
805	39024	9392
806	39062	9341
807	39098	9290
808	39133	9239
809	39169	9187
810	39208	9137
811	39249	9087
812	39284	9035
813	39319	8984
814	39358	8934
815	39394	8883
816	39433	8832
817	39470	8781
818	39507	8731
819	39546	8681
820	39581	8629
821	39615	8578
822	39651	8527
823	39685	8476
824	39720	8425
825	39754	8374
826	39792	8324
827	39825	8272
828	39862	8222
829	39898	8171
830	39936	8121
831	39971	8071
832	40007	8020
833	40042	7970
834	40076	7919
835	40114	7869
836	40151	7819
837	40189	7769
838	40226	7719
839	40263	7669
840	40301	7619
841	40338	7569
842	40375	7519
843	40413	7469
844	40452	7420
845	40490	7370
846	40531	7321
847	40569	7271
848	40608	7222
849	40644	7172
850	40682	7122
851	40718	7073
852	40755	7023
853	40792	6973
854	40830	6924
855	40868	6875
856	40905	6825
857	40944	6776
858	40981	6726
859	41020	6677
860	41058	6628
861	41096	6579
862	41132	6529
863	41176	6481
864	41221	6433
865	41265	6385
866	41318	6338
867	41412	6297
868	41513	6258
869	41612	6217
870	41713	6178
871	41814	6137
872	41916	6097
873	42016	6057
874	42116	6016
875	42214	5975
876	42315	5934
877	42420	5894
878	42523	5853
879	42629	5813
880	42732	5772
881	42836	5730
882	42938	5689
883	43041	5647
884	43142	5606
885	43245	5564
886	43348	5522
887	43449	5480
888	43553	5438
889	43656	5395
890	43762	5353
891	43867	5311
892	43969	5268
893	44072	5225
894	44176	5182
895	44281	5139
896	44387	5096
897	44496	5054
898	44605	5011
899	44710	4967
900	44816	4924
901	44922	4880
902	45028	4836
903	45134	4793
904	45244	4749
905	45353	4705
906	45463	4661
907	45569	4617
908	45677	4572
909	45782	4527
910	45888	4483
911	45994	4438
912	46099	4392
913	46206	4347
914	46313	4302
915	46420	4256
916	46524	4211
917	46631	4165
918	46735	4119
919	46837	4072
920	46937	4026
921	47045	3980
922	47149	3933
923	47252	3886
924	47355	3839
925	47458	3792
926	47560	3745
927	47662	3697
928	47765	3650
929	47867	3602
930	47968	3555
931	48071	3507
932	48174	3459
933	48273	3411
934	48374	3362
935	48475	3314
936	48578	3266
937	48680	3217
938	48782	3169
939	48884	3120
940	48978	3070
941	49078	3021
942	49180	2972
943	49283	2923
944	49386	2874
945	49487	2824
946	49589	2775
947	49686	2725
948	49789	2675
949	49889	2625
950	49991	2575
951	50093	2525
952	50196	2475
953	50301	2425
954	50379	2373
955	50419	2320
956	50457	2267
957	50494	2213
958	50531	2160
959	50568	2107
960	50607	2053
961	50646	2000
962	50685	1947
963	50719	1894
964	50754	1840
965	50792	1787
966	50828	1734
967	50865	1681
968	50900	1628
969	50938	1575
970	50975	1522
971	51011	1469
972	51049	1416
973	51085	1363
974	51121	1310
975	51158	1258
976	51194	1205
977	51251	1152
978	51289	1100
979	51325	1047
980	51361	994
981	51398	942
982	51433	889
983	51468	836
984	51504	784
985	51539	731
986	51575	679
987	51612	626
988	51648	574
989	51685	522
990	51722	469
991	51758	417
992	51794	365
993	51829	312
994	51865	260
995	51900	208
996	51933	156
997	51968	104
998	52004	52
999	52041	0
